Periodos,GA1
1993/01,58.79619833
1993/02,60.76381634
1993/03,55.96495279
1993/04,58.98916392
1993/05,61.76207841
1993/06,63.6411324
1993/07,72.62865372
1993/08,57.4882213
1993/09,54.10525739
1993/10,54.98477255
1993/11,64.98116663
1993/12,78.53210251
1994/01,54.39971937
1994/02,60.38688154
1994/03,57.87610512
1994/04,60.792258
1994/05,64.34882125
1994/06,72.36857587
1994/07,59.53414318
1994/08,57.68555317
1994/09,52.55466352
1994/10,58.84628604
1994/11,66.4109386
1994/12,74.9280826
1995/01,62.0825055
1995/02,52.07642064
1995/03,55.80933113
1995/04,63.22833223
1995/05,54.52214767
1995/06,67.39641771
1995/07,63.79634302
1995/08,66.74663287
1995/09,56.51232689
1995/10,53.29974039
1995/11,68.66290658
1995/12,85.59937261
1996/01,63.66100728
1996/02,62.23752366
1996/03,61.05097959
1996/04,57.90560322
1996/05,64.36945005
1996/06,71.13013052
1996/07,71.30959048
1996/08,57.43686622
1996/09,55.28280118
1996/10,55.10899093
1996/11,82.05053162
1996/12,76.1599164
1997/01,64.96998069
1997/02,60.87820176
1997/03,61.89804944
1997/04,59.52515556
1997/05,69.75140292
1997/06,69.45201035
1997/07,62.83422898
1997/08,58.16266819
1997/09,55.16998428
1997/10,62.17388463
1997/11,76.55333337
1997/12,74.08739071
1998/01,59.94452672
1998/02,67.21488943
1998/03,70.27034208
1998/04,61.10094572
1998/05,65.89251516
1998/06,73.69536187
1998/07,73.16606643
1998/08,62.34376064
1998/09,58.50082262
1998/10,56.93830423
1998/11,74.45485816
1998/12,77.85179562
1999/01,79.59834029
1999/02,67.35906864
1999/03,69.80087322
1999/04,57.98880778
1999/05,73.24696558
1999/06,65.82179344
1999/07,71.76359909
1999/08,57.66116355
1999/09,57.29505986
1999/10,56.80588823
1999/11,73.97342554
1999/12,79.34291989
2000/01,81.2359063
2000/02,61.31253962
2000/03,64.48194875
2000/04,58.73026959
2000/05,74.96856338
2000/06,76.50982091
2000/07,64.19187834
2000/08,57.71233194
2000/09,55.27462326
2000/10,62.02624632
2000/11,75.00126517
2000/12,85.9311175
2001/01,74.30097987
2001/02,60.69388849
2001/03,66.60533459
2001/04,65.20696352
2001/05,76.72428778
2001/06,83.59137765
2001/07,69.4225538
2001/08,66.71418299
2001/09,60.80448459
2001/10,65.88801346
2001/11,88.90909151
2001/12,85.27809567
2002/01,76.06081788
2002/02,66.17985248
2002/03,64.96123682
2002/04,65.88714374
2002/05,75.95027869
2002/06,79.72172068
2002/07,72.11269753
2002/08,64.51303024
2002/09,59.05344753
2002/10,66.29206184
2002/11,82.35895656
2002/12,84.4322398
2003/01,78.7727273
2003/02,67.58717438
2003/03,66.48465583
2003/04,67.3654669
2003/05,75.35537054
2003/06,87.49910678
